type, ID, parentID, startX, startY, startZ, endX, endY, endZ, radius, volume, growthVolume, length, growthLength, vesselVolume, distanceToTwig, FittingType, averagePointDistance, maxPointDistance, qualityFlag,segmentID, parentSegmentID, segmentMedianRadius, segmentGrowthVolume, segmentGrowthLength, branchOrder, reverseBranchOrder, reversePipeRadiusBranchorder, reversePipeAreaBranchorder, branchID, treeID, treeSpecies, translateX, translateY, translatez, gvA, gvB, gvC, glA, glB, glC
cylinder, 31, 30, 0.787762, -16.262098, 255.370843, 0.785916, -16.255572, 255.414648, 0.036398, 0.000184, 0.020977, 0.044327, 28.005601, 129.627122, 2.824946, SPHEREFOLLOWING, 0.002286, 0.003482, 1, 1, 0, 0.036628, 0.020792, 27.961274, 0, 17, 8.000000, 64, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 32, 31, 0.785916, -16.255572, 255.414648, 0.786221, -16.249990, 255.457143, 0.036666, 0.000181, 0.020792, 0.042861, 27.961274, 126.790180, 2.780619, SPHEREFOLLOWING, 0.002472, 0.003482, 1, 1, 0, 0.036628, 0.020792, 27.961274, 0, 17, 8.000000, 64, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 33, 32, 0.786221, -16.249990, 255.457143, 0.787910, -16.249564, 255.501460, 0.036278, 0.000183, 0.020611, 0.044351, 27.918413, 124.047062, 2.737758, SPHEREFOLLOWING, 0.001994, 0.003482, 1, 1, 0, 0.036628, 0.020792, 27.961274, 0, 17, 8.000000, 64, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 34, 33, 0.787910, -16.249564, 255.501460, 0.783742, -16.241701, 255.543151, 0.036628, 0.000180, 0.020428, 0.042631, 27.874062, 121.208617, 2.693407, SPHEREFOLLOWING, 0.002232, 0.003482, 1, 1, 0, 0.036628, 0.020792, 27.961274, 0, 17, 8.000000, 64, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 35, 34, 0.783742, -16.241701, 255.543151, 0.782429, -16.246103, 255.584816, 0.040074, 0.000211, 0.020248, 0.041917, 27.831431, 118.480246, 2.650776, SPHEREFOLLOWING, 0.004321, 0.003482, 1, 1, 0, 0.036628, 0.020792, 27.961274, 0, 17, 8.000000, 64, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 36, 35, 0.782429, -16.246103, 255.584816, 0.787595, -16.239294, 255.628394, 0.040212, 0.000226, 0.020004, 0.044408, 27.639330, 115.647353, 2.608859, SPHEREFOLLOWING, 0.005309, 0.003482, 1, 2, 1, 0.042955, 0.019778, 27.594923, 0, 16, 7.937254, 63, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 37, 36, 0.787595, -16.239294, 255.628394, 0.800343, -16.228452, 255.669100, 0.042955, 0.000255, 0.019778, 0.044012, 27.594923, 112.849671, 2.564451, SPHEREFOLLOWING, 0.007120, 0.003482, 1, 2, 1, 0.042955, 0.019778, 27.594923, 0, 16, 7.937254, 63, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 38, 37, 0.800343, -16.228452, 255.669100, 0.791652, -16.231617, 255.721419, 0.041531, 0.000288, 0.016722, 0.053130, 22.650713, 98.038165, 2.520439, SPHEREFOLLOWING, 0.005268, 0.003482, 1, 3, 2, 0.041531, 0.016722, 22.650713, 0, 15, 7.348469, 54, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 39, 38, 0.791652, -16.231617, 255.721419, 0.774798, -16.197064, 255.759806, 0.035238, 0.000212, 0.008388, 0.054328, 12.108559, 47.886061, 2.467308, SPHEREFOLLOWING, 0.006183, 0.003482, 1, 4, 3, 0.035238, 0.008388, 12.108559, 0, 14, 5.196152, 27, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 40, 39, 0.774798, -16.197064, 255.759806, 0.752203, -16.181012, 255.798318, 0.028552, 0.000122, 0.008100, 0.047449, 11.956551, 46.321536, 2.412981, SPHEREFOLLOWING, 0.004519, 0.003482, 1, 5, 4, 0.028552, 0.008100, 11.956551, 0, 13, 5.099020, 26, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 41, 40, 0.752203, -16.181012, 255.798318, 0.739449, -16.178599, 255.835397, 0.025286, 0.000079, 0.007919, 0.039285, 11.764022, 44.942774, 2.365532, SPHEREFOLLOWING, 0.002453, 0.003482, 1, 6, 5, 0.025950, 0.007771, 11.689211, 0, 12, 5.000000, 25, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 42, 41, 0.739449, -16.178599, 255.835397, 0.734779, -16.172431, 255.870071, 0.024920, 0.000069, 0.007840, 0.035526, 11.724737, 43.960644, 2.326246, SPHEREFOLLOWING, 0.003456, 0.003482, 1, 6, 5, 0.025950, 0.007771, 11.689211, 0, 12, 5.000000, 25, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 43, 42, 0.734779, -16.172431, 255.870071, 0.728172, -16.161264, 255.902326, 0.025950, 0.000074, 0.007771, 0.034767, 11.689211, 43.072495, 2.290720, SPHEREFOLLOWING, 0.002793, 0.003482, 1, 6, 5, 0.025950, 0.007771, 11.689211, 0, 12, 5.000000, 25, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 44, 43, 0.728172, -16.161264, 255.902326, 0.717327, -16.151312, 255.930200, 0.030286, 0.000091, 0.007697, 0.031521, 11.654444, 42.203321, 2.255953, SPHEREFOLLOWING, 0.005799, 0.003482, 1, 6, 5, 0.025950, 0.007771, 11.689211, 0, 12, 5.000000, 25, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 45, 44, 0.717327, -16.151312, 255.930200, 0.723029, -16.153517, 255.973240, 0.025587, 0.000089, 0.007386, 0.043472, 11.081936, 40.874299, 2.224432, SPHEREFOLLOWING, 0.003116, 0.003482, 1, 7, 6, 0.025587, 0.007296, 11.038464, 0, 11, 4.898979, 24, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 46, 45, 0.723029, -16.153517, 255.973240, 0.715736, -16.149917, 256.007830, 0.025033, 0.000070, 0.007296, 0.035534, 11.038464, 39.830973, 2.180960, SPHEREFOLLOWING, 0.002416, 0.003482, 1, 7, 6, 0.025587, 0.007296, 11.038464, 0, 11, 4.898979, 24, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 47, 46, 0.715736, -16.149917, 256.007830, 0.704970, -16.151575, 256.036771, 0.029545, 0.000085, 0.007227, 0.030923, 11.002930, 38.978168, 2.145427, SPHEREFOLLOWING, 0.005788, 0.003482, 1, 7, 6, 0.025587, 0.007296, 11.038464, 0, 11, 4.898979, 24, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 48, 47, 0.704970, -16.151575, 256.036771, 0.700896, -16.136941, 256.074242, 0.025460, 0.000082, 0.007092, 0.040433, 10.823239, 38.087237, 2.114503, SPHEREFOLLOWING, 0.014578, 0.003482, 1, 8, 7, 0.028159, 0.006936, 10.748640, 0, 10, 4.795832, 23, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 49, 48, 0.700896, -16.136941, 256.074242, 0.699335, -16.132009, 256.108015, 0.026308, 0.000074, 0.007010, 0.034167, 10.782806, 37.157277, 2.074070, SPHEREFOLLOWING, 0.003254, 0.003482, 1, 8, 7, 0.028159, 0.006936, 10.748640, 0, 10, 4.795832, 23, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 50, 49, 0.699335, -16.132009, 256.108015, 0.685633, -16.116564, 256.136815, 0.028159, 0.000088, 0.006936, 0.035436, 10.748640, 36.371445, 2.039903, SPHEREFOLLOWING, 0.003398, 0.003482, 1, 8, 7, 0.028159, 0.006936, 10.748640, 0, 10, 4.795832, 23, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 51, 50, 0.685633, -16.116564, 256.136815, 0.675958, -16.100047, 256.162733, 0.031350, 0.000099, 0.006847, 0.032220, 10.713203, 35.556410, 2.004467, SPHEREFOLLOWING, 0.006219, 0.003482, 1, 8, 7, 0.028159, 0.006936, 10.748640, 0, 10, 4.795832, 23, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 52, 51, 0.675958, -16.100047, 256.162733, 0.706872, -16.087265, 256.200709, 0.020772, 0.000069, 0.003573, 0.050609, 6.158370, 21.389931, 1.972247, SPHEREFOLLOWING, 0.006803, 0.003482, 1, 9, 8, 0.021102, 0.003344, 5.983315, 0, 9, 3.741657, 14, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 53, 52, 0.706872, -16.087265, 256.200709, 0.716127, -16.075008, 256.226586, 0.021171, 0.000042, 0.003505, 0.030092, 6.107761, 20.681406, 1.921638, SPHEREFOLLOWING, 0.002860, 0.003482, 1, 9, 8, 0.021102, 0.003344, 5.983315, 0, 9, 3.741657, 14, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 54, 53, 0.716127, -16.075008, 256.226586, 0.718660, -16.059939, 256.256607, 0.019853, 0.000042, 0.003462, 0.033685, 6.077669, 20.260119, 1.891546, SPHEREFOLLOWING, 0.004452, 0.003482, 1, 9, 8, 0.021102, 0.003344, 5.983315, 0, 9, 3.741657, 14, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 55, 54, 0.718660, -16.059939, 256.256607, 0.720617, -16.048423, 256.283359, 0.020183, 0.000037, 0.003420, 0.029192, 6.043984, 19.788524, 1.857861, SPHEREFOLLOWING, 0.002245, 0.003482, 1, 9, 8, 0.021102, 0.003344, 5.983315, 0, 9, 3.741657, 14, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 56, 55, 0.720617, -16.048423, 256.283359, 0.726434, -16.034652, 256.311060, 0.019947, 0.000039, 0.003383, 0.031477, 6.014792, 19.379835, 1.828669, SPHEREFOLLOWING, 0.001779, 0.003482, 1, 9, 8, 0.021102, 0.003344, 5.983315, 0, 9, 3.741657, 14, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 57, 56, 0.726434, -16.034652, 256.311060, 0.729460, -16.024920, 256.338917, 0.020776, 0.000040, 0.003344, 0.029663, 5.983315, 18.939162, 1.797192, SPHEREFOLLOWING, 0.002117, 0.003482, 1, 9, 8, 0.021102, 0.003344, 5.983315, 0, 9, 3.741657, 14, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
